,symbol,min_date,max_date,missing_dates_per,latest_closing_price,growth_per_30,avg_vol_30,growth_per_7,avg_vol_7,latest_signal,latest_trend,signal_start_date,signal_duration,trend_start_date,trend_duration
0,AARTIPHARM,2023-01-30,2024-10-18,10.02,610.4,-7.96,10149,0.34,7240,Buy,-1,2024-08-19,60,2024-10-15,3
1,BAJFINANCE,2000-06-16,2024-10-18,5.18,6897.25,-8.4,46181,-5.5,32597,Sell,-1,2024-10-01,17,2024-10-10,8
2,BRIGADE,2008-01-02,2024-10-11,6.59,1294.85,-1.41,11295,-5.59,8760,Buy,-1,2022-03-16,940,2024-10-09,2
3,CAPLIPOINT,2002-02-26,2024-10-18,13.05,1926.85,-4.64,12330,-0.04,8762,Buy,1,2024-06-07,133,2024-10-17,1
4,CEIGALL,2024-08-08,2024-10-11,6.82,379.95,2.51,41795,-1.5,56290,Sell,-1,2024-09-18,23,2024-10-10,1
5,CMSINFO,2021-12-31,2024-10-18,8.56,587.25,1.97,26790,-1.64,11167,Buy,1,2024-02-23,238,2024-10-17,1
6,DEEPAKNTR,2000-01-03,2024-10-18,5.38,2838.55,-1.64,14027,1.69,22346,Sell,-1,2023-06-08,498,2024-10-16,2
7,GLOBUSSPR,2009-09-23,2024-10-18,6.57,1086.6,-17.84,16378,-3.51,8899,Buy,1,2024-06-10,130,2024-10-17,1
8,GPIL,2006-04-25,2024-10-18,6.31,186.2,-79.92,213647,-2.41,80443,Sell,-1,2024-08-12,67,2024-10-17,1
9,HARIOMPIPE,2022-04-13,2024-10-18,8.63,616.45,-15.55,11977,-10.32,13244,Buy,-1,2024-08-20,59,2024-10-08,10
10,HCLTECH,2000-02-04,2024-10-18,5.4,1857.2,4.54,99802,2.07,89929,Buy,-1,2000-10-18,8766,2024-10-17,1
11,HFCL,2000-02-14,2024-10-18,5.45,129.95,-16.71,1804541,-6.02,1175945,Sell,-1,2024-10-04,14,2024-10-16,2
12,IEX,2017-10-23,2024-10-18,6.9,191.1,-15.66,1133859,-6.94,524882,Sell,1,2024-09-23,25,2024-10-17,1
13,JINDALPHOT,2005-04-07,2024-10-18,7.98,764.7,-7.0,1028,-0.79,554,Buy,-1,2024-04-19,182,2024-10-16,2
14,KDDL,2001-12-31,2024-10-18,10.38,2884.35,-6.14,4308,-1.78,724,Sell,-1,2012-08-01,4461,2024-10-17,1
15,LANDMARK,2022-12-23,2024-10-18,9.68,650.95,8.02,6461,-0.12,4199,Sell,1,2024-05-08,163,2024-10-17,1
16,MASFIN,2017-10-18,2024-10-18,5.85,300.15,0.47,15453,2.43,8037,Sell,1,2024-09-26,22,2024-10-07,11
17,MUTHOOTFIN,2011-05-06,2024-10-18,6.71,1968.7,-3.43,9222,0.86,4785,Sell,1,2024-09-30,18,2024-10-16,2
18,NATCOPHARM,2001-03-02,2024-10-18,5.35,1398.6,-10.35,63892,-3.7,24530,Buy,1,2024-08-06,73,2024-10-17,1
19,NH,2016-01-06,2024-10-18,6.88,1281.0,-0.3,19087,3.27,11033,Buy,-1,2024-08-20,59,2024-10-16,2
20,ONGC,2000-01-03,2024-10-18,5.99,283.15,-3.92,718521,-3.26,433487,Sell,1,2024-08-02,77,2024-10-17,1
21,ORIENTCEM,2013-07-12,2024-10-18,6.81,331.8,17.12,90340,13.04,96317,Buy,-1,2023-01-02,655,2024-10-17,1
22,PAYTM,2021-11-18,2024-10-18,8.34,724.95,4.16,793817,-3.87,430080,Buy,1,2024-05-09,162,2024-10-17,1
23,PETRONET,2004-04-05,2024-10-18,6.18,349.15,4.3,435125,-1.55,41863,Buy,-1,2024-10-01,17,2024-10-15,3
24,PIIND,2006-05-19,2024-10-18,28.58,4561.75,-3.49,4235,-0.88,5708,Buy,1,2008-06-06,5978,2024-10-17,1
25,PRIVISCL,2000-01-03,2024-10-18,9.08,1760.35,16.22,3477,7.39,8699,Buy,1,2005-06-24,7056,2024-10-07,11
26,RAIN,2000-01-03,2024-10-18,5.09,177.8,-3.92,184254,1.39,139611,Sell,-1,2024-10-04,14,2024-10-17,1
27,RAMCOIND,2002-01-03,2024-10-18,5.95,246.5,0.16,13304,4.96,9300,Buy,1,2008-10-27,5835,2024-10-17,1
28,RAMRAT,2005-02-21,2024-10-18,8.66,673.4,3.37,7836,-8.9,10339,Sell,-1,2024-10-11,7,2024-10-14,4
29,RAYMONDLSL,2024-09-05,2024-10-11,3.85,2137.8,-10.74,15416,-7.1,8631,Sell,-1,2024-09-24,17,2024-10-10,1
30,ROUTE,2020-09-21,2024-10-18,7.55,1552.2,-4.9,5632,0.16,2787,Buy,-1,2024-06-05,135,2024-10-16,2
31,RPGLIFE,2008-06-10,2024-10-18,6.8,2790.75,28.22,3721,3.38,1978,Buy,-1,2024-09-30,18,2024-10-15,3
32,SAIL,2000-01-03,2024-10-18,5.09,128.9,-1.21,1351694,-3.4,1065626,Sell,1,2024-06-03,137,2024-10-17,1
33,SALZERELEC,2000-01-03,2024-10-11,6.03,1114.45,9.02,14239,21.08,21591,Buy,1,2024-01-31,254,2024-10-10,1
34,SATIA,2015-09-11,2024-10-18,40.37,113.0,-3.17,35406,-0.88,21462,Buy,1,2016-07-13,3019,2024-10-17,1
35,SOLARA,2018-06-27,2024-10-18,7.34,809.6,8.63,7472,10.36,11772,Buy,1,2024-06-27,113,2024-10-14,4
36,SPORTKING,2016-12-12,2024-10-18,33.27,114.6,-5.36,62650,-3.4,33133,Buy,-1,2024-07-19,91,2024-10-17,1
37,SRF,2001-07-02,2024-10-18,6.01,2325.5,-4.73,34359,-2.2,7914,Sell,1,2023-06-08,498,2024-10-17,1
38,STEELCAS,2002-03-12,2024-10-18,7.82,766.7,0.54,3148,1.43,2193,Buy,1,2011-05-12,4908,2024-10-17,1
39,SUPRIYA,2021-12-28,2024-10-18,8.31,555.8,-12.56,22278,-5.01,12676,Buy,-1,2024-09-03,45,2024-10-16,2
40,TI,2002-01-21,2024-10-18,5.6,301.75,-1.74,120113,-0.78,63174,Buy,1,2024-08-29,50,2024-10-17,1
41,UGROCAP,2005-05-25,2024-10-18,62.92,255.4,-3.05,22769,2.68,27289,Sell,1,2024-10-04,14,2024-10-17,1
42,UTIAMC,2020-10-12,2024-10-18,7.31,1281.9,-1.21,15229,5.42,19993,Buy,-1,2022-08-02,808,2024-10-16,2
43,WPIL,2002-03-22,2024-10-18,5.01,443.55,3.62,51644,-1.47,49860,Buy,-1,2024-07-25,85,2024-10-17,1
