symbol,name,currency,exchange,mic_code,country,added_date,deleted_date
ABSLBANETF,Aditya Birla Sun Life Mutual F,INR,BSE,XBOM,India,2023-09-25,
ABSLNN50ET,Aditya Birla Sun Life Mutual F,INR,BSE,XBOM,India,2023-09-25,
AXISCETF,Axis Mutual Fund,INR,BSE,XBOM,India,2023-09-25,
AXISGOLD,Axis Gold Exchange Traded Fund,INR,BSE,XBOM,India,2023-09-25,
AXISTECETF,Axis Mutual Fund,INR,BSE,XBOM,India,2023-09-25,
BANKBEES,Nippon India ETF Bank BeES,INR,BSE,XBOM,India,2023-09-25,
BSLGOLDETF,Aditya Birla Sun Life Gold ETF,INR,BSE,XBOM,India,2023-09-25,
BSLSENETFG,Aditya Birla Sun Life Sensex ETF,INR,BSE,XBOM,India,2023-09-25,
CPSEETF,CPSE ETF,INR,BSE,XBOM,India,2023-09-25,
DSPN50ETF,DSP Mutual Fund,INR,BSE,XBOM,India,2023-09-25,
DSPNEWETF,DSP Mutual Fund,INR,BSE,XBOM,India,2023-09-25,
DSPQ50ETF,DSP Mutual Fund,INR,BSE,XBOM,India,2023-09-25,
GOLDBEES,Nippon India ETF Gold BeES,INR,BSE,XBOM,India,2023-09-25,
GOLDSHARE,UTI Gold Exchange Traded Scheme,INR,BSE,XBOM,India,2023-09-25,
HNGSNGBEES,Nippon India ETF Hang Seng BeES,INR,BSE,XBOM,India,2023-09-25,
ICICI500,ICICI Prudential S&P BSE 500 ETF,INR,BSE,XBOM,India,2023-09-25,
ICICIALPLV,ICICI Prudential Mutual Fund,INR,BSE,XBOM,India,2023-09-25,
ICICIAUTO,ICICI Prudential Mutual Fund,INR,BSE,XBOM,India,2023-09-25,
ICICIB22,ICICI Prudential Mutual Fund,INR,BSE,XBOM,India,2023-09-25,
ICICIBANKN,ICICI Prudential Mutual Fund,INR,BSE,XBOM,India,2023-09-25,
ICICIBANKP,ICICI Prudential Mutual Fund,INR,BSE,XBOM,India,2023-09-25,
ICICICONSU,ICICI Prudential Mutual Fund,INR,BSE,XBOM,India,2023-09-25,
ICICIFMCG,ICICI Prudential Mutual Fund,INR,BSE,XBOM,India,2023-09-25,
ICICIGOLD,ICICI Prudential Gold ETF,INR,BSE,XBOM,India,2023-09-25,
ICICILOVOL,ICICI Prudential Nifty Low Vol,INR,BSE,XBOM,India,2023-09-25,
ICICIM150,ICICI Prudential Mutual Fund,INR,BSE,XBOM,India,2023-09-25,
ICICIMCAP,ICICI Prudential Midcap Select,INR,BSE,XBOM,India,2023-09-25,
ICICINF100,ICICI Prudential Nifty 100 ETF,INR,BSE,XBOM,India,2023-09-25,
ICICINIFTY,ICICI Prudential Nifty ETF,INR,BSE,XBOM,India,2023-09-25,
ICICINV20,ICICI Prudential NV20 ETF,INR,BSE,XBOM,India,2023-09-25,
ICICINXT50,ICICI Prudential Nifty Next 50 ETF,INR,BSE,XBOM,India,2023-09-25,
ICICIPHARM,ICICI Prudential Mutual Fund,INR,BSE,XBOM,India,2023-09-25,
ICICISENSX,ICICI Prudential Sensex ETF,INR,BSE,XBOM,India,2023-09-25,
ICICISILVE,ICICI Prudential Mutual Fund,INR,BSE,XBOM,India,2023-09-25,
ICICITECH,ICICI Prudential Mutual Fund,INR,BSE,XBOM,India,2023-09-25,
IDBIGOLD,IDBI Gold ETF,INR,BSE,XBOM,India,2023-09-25,
INFRABEES,Nippon India Mutual Fund,INR,BSE,XBOM,India,2023-09-25,
IVZINGOLD,Invesco India Gold ETF,INR,BSE,XBOM,India,2023-09-25,
JUNIORBEES,Nippon India ETF Junior BeES,INR,BSE,XBOM,India,2023-09-25,
KOTAKBKETF,Kotak Mahindra Mutual Fund - P,INR,BSE,XBOM,India,2023-09-25,
KOTAKGOLD,Kotak Gold Exchange Traded Scheme,INR,BSE,XBOM,India,2023-09-25,
KOTAKNIFTY,Kotak Nifty Exchange Traded Scheme,INR,BSE,XBOM,India,2023-09-25,
KOTAKPSUBK,Kotak PSU Bank Exchange Traded Scheme,INR,BSE,XBOM,India,2023-09-25,
LICNETFN50,LIC MF ETF Nifty 50,INR,BSE,XBOM,India,2023-09-25,
LICNETFSEN,LIC MF ETF Sensex,INR,BSE,XBOM,India,2023-09-25,
LICNFNHGP,LIC MF ETF Nifty 100,INR,BSE,XBOM,India,2023-09-25,
MAESGETF,Mirae Asset Mutual Fund,INR,BSE,XBOM,India,2023-09-25,
MAFANG,Mirae Asset Mutual Fund,INR,BSE,XBOM,India,2023-09-25,
MAFSETF,Mirae Asset Mutual Fund,INR,BSE,XBOM,India,2023-09-25,
MAHKTECH,Mirae Asset Mutual Fund,INR,BSE,XBOM,India,2023-09-25,
MAMFGETF,Mirae Asset Mutual Fund,INR,BSE,XBOM,India,2023-09-25,
MAN50ETF,Mirae Asset Mutual Fund,INR,BSE,XBOM,India,2023-09-25,
MASPTOP50,Mirae Asset Mutual Fund,INR,BSE,XBOM,India,2023-09-25,
MOM100,MOTILAL OSWAL MUTUAL FUND - MO,INR,BSE,XBOM,India,2023-09-25,
MOM50,MOTILAL OSWAL MUTUAL FUND,INR,BSE,XBOM,India,2023-09-25,
MON100,MOTILAL OSWAL MOST SHARES NASD,INR,BSE,XBOM,India,2023-09-25,
MONQ50,Motilal Oswal Mutual Fund,INR,BSE,XBOM,India,2023-09-25,
NIFTYBEES,Nippon India ETF Nifty BeES,INR,BSE,XBOM,India,2023-09-25,
PSUBNKBEES,Nippon India ETF PSU Bank BeES,INR,BSE,XBOM,India,2023-09-25,
QGOLDHALF,Quantum Gold Exchange Traded Scheme,INR,BSE,XBOM,India,2023-09-25,
QNIFTY,Quantum Nifty Exchange Traded Scheme,INR,BSE,XBOM,India,2023-09-25,
SETFNIF50,SBI Mutual Fund-Permitted,INR,BSE,XBOM,India,2023-09-25,
SETFNIFBK,SBI Mutual Fund-Permitted,INR,BSE,XBOM,India,2023-09-25,
SHARIABEES,Nippon India ETF Shariah BeES,INR,BSE,XBOM,India,2023-09-25,
UTIBANKETF,UTI Mutual Fund,INR,BSE,XBOM,India,2023-09-25,
UTINEXT50,UTI Nifty Next 50 ETF,INR,BSE,XBOM,India,2023-09-25,
UTINIFTETF,UTI Nifty ETF,INR,BSE,XBOM,India,2023-09-25,
UTISENSETF,UTI Sensex ETF,INR,BSE,XBOM,India,2023-09-25,
UTISXN50,UTI Mutual Fund,INR,BSE,XBOM,India,2023-09-25,
