symbol,name,country,currency,exchange,mic_code,added_date,deleted_date
CNX100,NIFTY 100,India,INR,NSE,XNSE,2023-09-25,
CNX200,NIFTY 200,India,INR,NSE,XNSE,2023-09-25,
CNXAUTO,NIFTY AUTO,India,INR,NSE,XNSE,2023-09-25,
CNXCMDT,NIFTY COMMODITIES,India,INR,NSE,XNSE,2023-09-25,
CNXCONSUM,NIFTY CONSUMPTION,India,INR,NSE,XNSE,2023-09-25,
CNXDIVOP,NIFTY DIV OPPS 50,India,INR,NSE,XNSE,2023-09-25,
CNXENERGY,NIFTY ENERGY,India,INR,NSE,XNSE,2023-09-25,
CNXFIN,NIFTY FINSRV25 50,India,INR,NSE,XNSE,2023-09-25,
CNXFMCG,NIFTY FMCG,India,INR,NSE,XNSE,2023-09-25,
CNXINFRA,NIFTY INFRA,India,INR,NSE,XNSE,2023-09-25,
CNXIT,NIFTY IT,India,INR,NSE,XNSE,2023-09-25,
CNXMEDIA,NIFTY MEDIA,India,INR,NSE,XNSE,2023-09-25,
CNXMETAL,NIFTY METAL,India,INR,NSE,XNSE,2023-09-25,
CNXMNC,NIFTY MNC,India,INR,NSE,XNSE,2023-09-25,
CNXPHARMA,NIFTY PHARMA,India,INR,NSE,XNSE,2023-09-25,
CNXPSE,NIFTY PSE,India,INR,NSE,XNSE,2023-09-25,
CNXPSUBANK,NIFTY PSU BANK,India,INR,NSE,XNSE,2023-09-25,
CNXREALTY,NIFTY REALTY,India,INR,NSE,XNSE,2023-09-25,
CNXSC,NIFTY SMLCAP 100,India,INR,NSE,XNSE,2023-09-25,
CNXSERVICE,NIFTY SERV SECTOR,India,INR,NSE,XNSE,2023-09-25,
CRSLDX,NIFTY 500,India,INR,NSE,XNSE,2023-09-25,
CRSMID,NIFTY Midcap 100,India,INR,NSE,XNSE,2023-09-25,
INDIAVIX,INDIA VIX,India,INR,NSE,XNSE,2023-09-25,
LIX15,NIFTY100 LIQ 15,India,INR,NSE,XNSE,2023-09-25,
NI15,NIFTY GROWSECT 15,India,INR,NSE,XNSE,2023-09-25,
NIFTY100_EQL_WGT,NIFTY100 EQL WGT,India,INR,NSE,XNSE,2023-09-25,
NIFTY100ESGSECLDR,NIFTY100ESGSECLDR,India,INR,NSE,XNSE,2023-09-25,
NIFTY100LOWVOL30,NIFTY100 LOWVOL30,India,INR,NSE,XNSE,2023-09-25,
NIFTY200MOMENTM30,NIFTY200MOMENTM30,India,INR,NSE,XNSE,2023-09-25,
NIFTY200QUALTY30,NIFTY200 QUALTY30,India,INR,NSE,XNSE,2023-09-25,
NIFTY50EQUALWEIGHT,NIFTY50 EQL WGT,India,INR,NSE,XNSE,2023-09-25,
NIFTYALPHA50,NIFTY ALPHA 50,India,INR,NSE,XNSE,2023-09-25,
NIFTYALPHALOWVOL,NIFTY ALPHALOWVOL,India,INR,NSE,XNSE,2023-09-25,
NIFTY_CPSE,NIFTY CPSE,India,INR,NSE,XNSE,2023-09-25,
NIFTY_FIN_SERVICE,NIFTY FIN SERVICE,India,INR,NSE,XNSE,2023-09-25,
NIFTYGS10YR,NIFTY GS 10YR,India,INR,NSE,XNSE,2023-09-25,
NIFTYGS10YRCLN,NIFTY GS 10YR CLN,India,INR,NSE,XNSE,2023-09-25,
NIFTYGS11TO15YR,NIFTY GS 11 15YR,India,INR,NSE,XNSE,2023-09-25,
NIFTYGS15YRPLUS,NIFTY GS 15YRPLUS,India,INR,NSE,XNSE,2023-09-25,
NIFTYGS4TO8YR,NIFTY GS 4 8YR,India,INR,NSE,XNSE,2023-09-25,
NIFTYGS8TO13YR,NIFTY GS 8 13YR,India,INR,NSE,XNSE,2023-09-25,
NIFTYGSCOMPOSITE,NIFTY GS COMPSITE,India,INR,NSE,XNSE,2023-09-25,
NIFTY_MIDCAP_100,NIFTY MIDCAP 100,India,INR,NSE,XNSE,2023-09-25,
NIFTYMIDCAP150,NIFTY MIDCAP 150,India,INR,NSE,XNSE,2023-09-25,
NIFTYMIDLIQ15,NIFTY MID LIQ 15,India,INR,NSE,XNSE,2023-09-25,
NIFTYMIDSML400,NIFTY MIDSML 400,India,INR,NSE,XNSE,2023-09-25,
NIFTYPR1XINV,NIFTY50 PR 1X INV,India,INR,NSE,XNSE,2023-09-25,
NIFTYPR2XLEV,NIFTY50 PR 2X LEV,India,INR,NSE,XNSE,2023-09-25,
NIFTY_PVT_BANK,NIFTY PVT BANK,India,INR,NSE,XNSE,2023-09-25,
NIFTYQUALITY30,NIFTY100 QUALTY30,India,INR,NSE,XNSE,2023-09-25,
NIFTYSMLCAP250,NIFTY SMLCAP 250,India,INR,NSE,XNSE,2023-09-25,
NIFTYSMLCAP50,NIFTY SMLCAP 50,India,INR,NSE,XNSE,2023-09-25,
NIFTYTR1XINV,NIFTY50 TR 1X INV,India,INR,NSE,XNSE,2023-09-25,
NIFTYTR2XLEV,NIFTY50 TR 2X LEV,India,INR,NSE,XNSE,2023-09-25,
NSEBANK,NIFTY BANK,India,INR,NSE,XNSE,2023-09-25,
NSEDIV,NIFTY50 DIV POINT,India,INR,NSE,XNSE,2023-09-25,
NSEI,NIFTY 50,India,INR,NSE,XNSE,2023-09-25,
NSEMDCP50,NIFTY MIDCAP 50,India,INR,NSE,XNSE,2023-09-25,
NSMIDCP,NIFTY NEXT 50,India,INR,NSE,XNSE,2023-09-25,
NV20,NIFTY50 VALUE 20,India,INR,NSE,XNSE,2023-09-25,
